station_name,borough,full_name,url
Abbey Wood,Bexley & Royal Borough of Greenwich,Abbey Wood railway station,https://en.wikipedia.org/wiki/Abbey_Wood_railway_station
Acton Main Line,Ealing,Acton Main Line railway station,https://en.wikipedia.org/wiki/Acton_Main_Line_railway_station
Bond Street,Westminster,Bond Street station,https://en.wikipedia.org/wiki/Bond_Street_station
Brentwood,Borough of Brentwood,Brentwood railway station,https://en.wikipedia.org/wiki/Brentwood_railway_station
Burnham,Slough,Burnham railway station,https://en.wikipedia.org/wiki/Burnham_railway_station
Canary Wharf,Tower Hamlets,Canary Wharf railway station,https://en.wikipedia.org/wiki/Canary_Wharf_railway_station
Chadwell Heath,Redbridge,Chadwell Heath railway station,https://en.wikipedia.org/wiki/Chadwell_Heath_railway_station
Custom House,Newham,Custom House station,https://en.wikipedia.org/wiki/Custom_House_station
Ealing Broadway,Ealing,Ealing Broadway station,https://en.wikipedia.org/wiki/Ealing_Broadway_station
Farringdon,Islington,Farringdon station,https://en.wikipedia.org/wiki/Farringdon_station
Forest Gate,Newham,Forest Gate railway station,https://en.wikipedia.org/wiki/Forest_Gate_railway_station
Gidea Park,Havering,Gidea Park railway station,https://en.wikipedia.org/wiki/Gidea_Park_railway_station
Goodmayes,Redbridge,Goodmayes railway station,https://en.wikipedia.org/wiki/Goodmayes_railway_station
Hanwell,Ealing,Hanwell railway station,https://en.wikipedia.org/wiki/Hanwell_railway_station
Harold Wood,Havering,Harold Wood railway station,https://en.wikipedia.org/wiki/Harold_Wood_railway_station
Hayes & Harlington,Hillingdon,Hayes & Harlington railway station,https://en.wikipedia.org/wiki/Hayes_%26_Harlington_railway_station
Heathrow Terminal 4,Hillingdon,Heathrow Terminal 4 railway station,https://en.wikipedia.org/wiki/Heathrow_Terminal_4_railway_station
Heathrow Terminal 5,Hillingdon,Heathrow Terminal 5 station,https://en.wikipedia.org/wiki/Heathrow_Terminal_5_station
Heathrow Terminals 2 & 3,Hillingdon,Heathrow Terminals 2 & 3 railway station,https://en.wikipedia.org/wiki/Heathrow_Terminals_2_%26_3_railway_station
Ilford,Redbridge,Ilford railway station,https://en.wikipedia.org/wiki/Ilford_railway_station
Iver,Buckinghamshire,Iver railway station,https://en.wikipedia.org/wiki/Iver_railway_station
Langley,Slough,Langley railway station,https://en.wikipedia.org/wiki/Langley_railway_station
Liverpool Street,City of London,Liverpool Street station,https://en.wikipedia.org/wiki/Liverpool_Street_station
London Paddington,Westminster,London Paddington station,https://en.wikipedia.org/wiki/London_Paddington_station
Maidenhead,Unknown,Maidenhead railway station,https://en.wikipedia.org/wiki/Maidenhead_railway_station
Manor Park,Newham,Manor Park railway station,https://en.wikipedia.org/wiki/Manor_Park_railway_station
Maryland,Newham,Maryland railway station,https://en.wikipedia.org/wiki/Maryland_railway_station
Reading,Unknown,Reading railway station,https://en.wikipedia.org/wiki/Reading_railway_station
Romford,Havering,Romford railway station,https://en.wikipedia.org/wiki/Romford_railway_station
Seven Kings,Redbridge,Seven Kings railway station,https://en.wikipedia.org/wiki/Seven_Kings_railway_station
Shenfield,Borough of Brentwood,Shenfield railway station,https://en.wikipedia.org/wiki/Shenfield_railway_station
Slough,Unknown,Slough railway station,https://en.wikipedia.org/wiki/Slough_railway_station
Southall,Ealing,Southall railway station,https://en.wikipedia.org/wiki/Southall_railway_station
Stratford,Newham,Stratford station,https://en.wikipedia.org/wiki/Stratford_station
Taplow,Buckinghamshire,Taplow railway station,https://en.wikipedia.org/wiki/Taplow_railway_station
Tottenham Court Road,Camden,Tottenham Court Road station,https://en.wikipedia.org/wiki/Tottenham_Court_Road_station
Twyford,Unknown,Twyford railway station,https://en.wikipedia.org/wiki/Twyford_railway_station
West Drayton,Hillingdon,West Drayton railway station,https://en.wikipedia.org/wiki/West_Drayton_railway_station
West Ealing,Ealing,West Ealing railway station,https://en.wikipedia.org/wiki/West_Ealing_railway_station
Whitechapel,Tower Hamlets,Whitechapel station,https://en.wikipedia.org/wiki/Whitechapel_station
Woolwich,Greenwich,Woolwich railway station,https://en.wikipedia.org/wiki/Woolwich_railway_station
