station_name,borough,borough_standardized
Abbey Wood,Bexley & Royal Borough of Greenwich,Greenwich
Brentwood,Borough of Brentwood,Out of London
Shenfield,Borough of Brentwood,Out of London
Iver,Buckinghamshire,Out of London
Taplow,Buckinghamshire,Out of London
Tottenham Court Road,Camden,Camden
Liverpool Street,City of London,City of London
Acton Main Line,Ealing,Ealing
Ealing Broadway,Ealing,Ealing
Hanwell,Ealing,Ealing
Southall,Ealing,Ealing
West Ealing,Ealing,Ealing
Woolwich,Greenwich,Greenwich
Gidea Park,Havering,Havering
Harold Wood,Havering,Havering
Romford,Havering,Havering
Hayes & Harlington,Hillingdon,Hillingdon
Heathrow Terminal 4,Hillingdon,Hillingdon
Heathrow Terminal 5,Hillingdon,Hillingdon
Heathrow Terminals 2 & 3,Hillingdon,Hillingdon
West Drayton,Hillingdon,Hillingdon
Farringdon,Islington,Islington
Custom House,Newham,Newham
Forest Gate,Newham,Newham
Manor Park,Newham,Newham
Maryland,Newham,Newham
Stratford,Newham,Newham
Chadwell Heath,Redbridge,Redbridge
Goodmayes,Redbridge,Redbridge
Ilford,Redbridge,Redbridge
Seven Kings,Redbridge,Redbridge
Burnham,Slough,Out of London
Langley,Slough,Out of London
Canary Wharf,Tower Hamlets,Tower Hamlets
Whitechapel,Tower Hamlets,Tower Hamlets
Maidenhead,Unknown,Out of London
Reading,Unknown,Out of London
Slough,Unknown,Out of London
Twyford,Unknown,Out of London
Bond Street (ELZ),Westminster,Westminster
Paddington,Westminster,Westminster
