NLC_Code,Station_Name
500,Acton Town
501,Barbican
502,Aldgate
503,Aldgate East
505,Alperton
506,Amersham
507,Angel
508,Archway
509,Arnos Grove
510,Arsenal
511,Baker Street
512,Balham
513,Bank / Monument
514,Barking
515,Barkingside
516,Barons Court
517,Bayswater
518,Becontree
519,Belsize Park
520,Bethnal Green
521,Blackfriars
522,Blackhorse Road
524,Bond Street
525,Borough
526,Boston Manor
527,Bounds Green
528,Bow Road
529,Brent Cross
530,Bromley-by-Bow
531,Buckhurst Hill
532,Burnt Oak
534,Caledonian Road
535,Camden Town
536,Cannon Street
537,Canons Park
539,Chalfont & Latimer
540,Chalk Farm
541,Chancery Lane
542,Embankment
543,Chesham
544,Chigwell
545,Chiswick Park
546,Chorleywood
547,Clapham Common
548,Clapham North
549,Clapham South
550,Cockfosters
551,Colindale
552,Colliers Wood
553,Covent Garden
554,Croxley
555,Dagenham East
556,Dagenham Heathway
557,Debden
558,Dollis Hill
560,Ealing Broadway
561,Ealing Common
562,Earl's Court
563,East Acton
564,Eastcote
565,East Finchley
566,East Ham
567,East Putney
568,Edgware
569,Edgware Road (Cir)
570,Elephant & Castle
571,Elm Park
572,Epping
574,Euston
575,Euston Square
576,Fairlop
577,Farringdon
578,Finchley Central
579,Finchley Road
580,Finsbury Park
581,Fulham Broadway
582,Gants Hill
583,Gloucester Road
584,Golders Green
585,Goldhawk Road
586,Goodge Street
587,Grange Hill
588,Great Portland Street
589,Greenford
590,Green Park
591,Gunnersbury
592,Hainault
593,Hammersmith (Dis)
594,Hampstead
595,Hanger Lane
596,Harlesden
597,Harrow & Wealdstone
598,Harrow-on-the-Hill
599,Wood Lane
601,Hendon Central
602,High Barnet
603,Highbury & Islington
604,Highgate
605,High Street Kensington
606,Hillingdon
607,Holborn
608,Holland Park
609,Holloway Road
610,Hornchurch
611,Hounslow Central
612,Hounslow East
613,Hounslow West
614,Hyde Park Corner
615,Ickenham
616,Kennington
617,Kensal Green
618,Kensington (Olympia)
619,Kentish Town
620,Kenton
621,Kew Gardens
622,Kilburn
623,Kilburn Park
624,Kingsbury
625,King's Cross St. Pancras
626,Knightsbridge
627,Ladbroke Grove
628,Lambeth North
629,Lancaster Gate
630,Latimer Road
631,Leicester Square
632,Leyton
633,Leytonstone
634,Liverpool Street
635,London Bridge
636,Loughton
637,Maida Vale
638,Manor House
639,Mansion House
640,Marble Arch
641,Marylebone
642,Mile End
643,Mill Hill East
645,Moorgate
646,Moor Park
647,Morden
648,Mornington Crescent
649,Neasden
650,Newbury Park
651,New Cross
652,New Cross Gate
653,North Acton
654,North Ealing
655,Northfields
656,North Harrow
657,Northolt
659,North Wembley
660,Northwick Park
661,Northwood
662,Northwood Hills
663,Notting Hill Gate
664,Oakwood
665,Old Street
667,Osterley
668,Oval
669,Oxford Circus
670,Paddington
671,Park Royal
672,Parsons Green
673,Perivale
674,Piccadilly Circus
675,Pinner
676,Plaistow
677,Preston Road
678,Putney Bridge
679,Queensbury
680,Queen's Park
681,Queensway
682,Ravenscourt Park
683,Rayners Lane
684,Redbridge
685,Regent's Park
686,Richmond
687,Rickmansworth
688,Roding Valley
689,Rotherhithe
690,Royal Oak
691,Ruislip
692,Ruislip Gardens
693,Ruislip Manor
694,Russell Square
695,St. James's Park
696,St. John's Wood
697,St. Paul's
698,Seven Sisters
699,Shadwell
700,Shepherd's Bush (Cen)
701,Shoreditch
702,Sloane Square
703,Snaresbrook
704,South Ealing
705,Southfields
706,Southgate
707,South Harrow
708,South Kensington
709,South Kenton
710,South Ruislip
711,South Wimbledon
712,South Woodford
713,Stamford Brook
714,Stanmore
715,Stepney Green
716,Stockwell
717,Stonebridge Park
718,Charing Cross
719,Stratford
720,Sudbury Hill
721,Sudbury Town
722,Surrey Quays
723,Swiss Cottage
724,Temple
725,Theydon Bois
726,Tooting Bec
727,Tooting Broadway
728,Tottenham Court Road
729,Tottenham Hale
730,Totteridge & Whetstone
731,Tower Hill
733,Tufnell Park
734,Turnham Green
735,Turnpike Lane
736,Upminster
737,Upminster Bridge
738,Upney
739,Upton Park
740,Uxbridge
741,Victoria
742,Walthamstow Central
743,Wanstead
744,Wapping
745,Warren Street
746,Warwick Avenue
747,Waterloo
748,Watford
751,Wembley Central
752,Wembley Park
753,West Acton
754,Westbourne Park
755,West Brompton
756,West Finchley
757,West Ham
758,West Hampstead
759,West Harrow
760,West Kensington
761,Westminster
762,West Ruislip
763,Whitechapel
764,White City
765,Willesden Green
766,Willesden Junction
767,Wimbledon
768,Wimbledon Park
769,Woodford
770,Wood Green
771,Woodside Park
773,Hammersmith (H&C)
774,Edgware Road (Bak)
775,Shepherd's Bush (H&C)
776,Pimlico
777,Vauxhall
778,Brixton
779,Hatton Cross
780,Heathrow Terminals 123
781,Heathrow Terminal 4
783,Heathrow Terminal 5
784,Southwark
787,Bermondsey
788,Canada Water
789,North Greenwich
852,Canary Wharf
884,Canning Town
