Variable,Coefficient,Std_Error,t_statistic,p_value,CI_Lower,CI_Upper
const,11.502857043064298,0.016339102581216684,704.0078845142879,0.0,11.470832990465407,11.534881095663188
Weighted_In_Degree_Lag1_Standardized,0.012828632223149342,0.0029364919840919393,4.368693084349209,1.2499227942038701e-05,0.007073213693438576,0.01858405075286011
Betweenness_Centrality_Lag1_Standardized,-0.0068641977163109505,0.003535761217787844,-1.9413634839870633,0.05221420422695133,-0.013794162361108607,6.576692848670601e-05
Closeness_Centrality_Lag1_Standardized,0.0022096560783401863,0.002385998027796519,0.926093002843265,0.35439765000015133,-0.002466814123324589,0.006886126280004961
Eigenvector_Centrality_Lag1_Standardized,-0.006688117021010484,0.013958446814856586,-0.4791447866457483,0.6318356301236627,-0.03404617005824723,0.020669936016226256
Year_2002,0.15312526774158364,0.007590898147214356,20.172220041942765,1.7175301810283046e-90,0.1382473807627317,0.1680031547204356
Year_2003,0.267429040414755,0.019271488919490532,13.876926766373838,8.741220217642389e-44,0.22965761620409086,0.30520046462541917
Year_2004,0.34991497313031084,0.019612072337840483,17.8418153422353,3.346452817138003e-71,0.31147601768594924,0.38835392857467244
Year_2005,0.38283917669713385,0.019482975121055547,19.649934074154505,5.788798698398131e-86,0.3446532471481751,0.42102510624609263
Year_2006,0.4494520879677434,0.015677748443734936,28.668152801453527,9.522125005117293e-181,0.418724265659344,0.48017991027614276
Year_2007,0.5911255601343929,0.01119090972998801,52.82193980623113,0.0,0.5691917801093775,0.6130593401594082
Year_2008,0.6006850049417437,0.011128017275572664,53.979517650491026,0.0,0.5788744918622818,0.6224955180212056
Year_2009,0.49225644229879195,0.010103170236991357,48.72296821214229,0.0,0.4724545925046119,0.512058292092972
Year_2010,0.5973354040092557,0.00990314264054389,60.31776231958317,0.0,0.5779256011000268,0.6167452069184846
Year_2011,0.6246835934143966,0.012101429118757518,51.62064639507093,0.0,0.6009652281801676,0.6484019586486256
Year_2012,0.6712931806302046,0.01652101290762878,40.63268907200156,0.0,0.6389125903431309,0.7036737709172783
Year_2013,0.7507319767847443,0.021538851243257693,34.854782565051885,3.603471688768093e-266,0.7085166040795935,0.7929473494898952
Year_2014,0.9068924978855314,0.02442123753171635,37.13540301582719,7.542348084825235e-302,0.8590277518654695,0.9547572439055932
Year_2015,1.000887240584052,0.020523191578704164,48.76859609022118,0.0,0.9606625242419762,1.041111956926128
Year_2016,1.0871047578305835,0.01750015640847886,62.11971667315379,0.0,1.0528050815461472,1.1214044341150198
Year_2017,1.1174781283839554,0.01868256824996968,59.813945996732485,0.0,1.0808609674753034,1.1540952892926075
Year_2018,1.0903325910522303,0.01932929890037942,56.40828447382683,0.0,1.052447861361077,1.1282173207433837
Year_2019,1.084538377241322,0.018785713651831293,57.73208286583233,0.0,1.0477190550598503,1.1213576994227936
Year_2020,1.1253167974493854,0.01883762496255631,59.73772169719835,0.0,1.0883957309685024,1.1622378639302684
Year_2021,1.146516608518564,0.019252217894253534,59.552442986882056,0.0,1.1087829548233097,1.1842502622138185
Year_2022,1.2045207912281708,0.018755206841523892,64.22327417692726,0.0,1.1677612612961847,1.2412803211601569
Year_2023,1.199635611111697,0.0181356581995372,66.14789482205339,0.0,1.1640903742046755,1.2351808480187185
Borough_Barnet,0.665395710793067,0.004623766989626263,143.9077082140877,0.0,0.6563332940204943,0.6744581275656397
Borough_Brent,0.5574293511054523,0.008278050329775528,67.33824136106308,0.0,0.5412046705968824,0.5736540316140223
Borough_Bromley,0.443398510047339,0.011406088925152408,38.87384299359338,0.0,0.4210429865495791,0.46575403354509887
Borough_Camden,0.9995903666591888,0.03083838485951331,32.4138365615742,1.752152090421096e-230,0.9391482429931574,1.06003249032522
Borough_City_of_London,0.9098962504952499,0.022853705380472638,39.81394856313809,0.0,0.8651038110362343,0.9546886899542655
Borough_Croydon,0.25107454400730755,0.010200327541426022,24.6143609592567,8.86627336429011e-134,0.23108226939560056,0.27106681861901455
Borough_Ealing,0.5627088927907475,0.004604008346656733,122.22151882052226,0.0,0.5536852022467785,0.5717325833347165
Borough_Enfield,0.3624184590390033,0.003163348133012874,114.56799688177993,0.0,0.35621841062773607,0.3686185074502706
Borough_Greenwich,0.31252779560173266,0.0019253484325248702,162.32272056434422,0.0,0.3087541820162933,0.31630140918717203
Borough_Hackney,0.5852870790636842,0.0030627902781617594,191.09603528419342,0.0,0.5792841204262877,0.5912900377010806
Borough_Hammersmith_and_Fulham,0.9921431903270236,0.010111668563182326,98.1186422525283,0.0,0.9723246841195804,1.0119616965344669
Borough_Haringey,0.6320069513923403,0.006781568596847651,93.19480329169313,0.0,0.6187153211838311,0.6452985816008495
Borough_Harrow,0.5049872236347343,0.002153161220522153,234.5329364200012,0.0,0.5007671051896025,0.509207342079866
Borough_Havering,0.24489512741623706,0.0077172775138822855,31.733357647914765,5.387930638020301e-221,0.22976954143032696,0.26002071340214716
Borough_Hillingdon,0.3617822987730983,0.0012834548965137754,281.8815836503494,0.0,0.35926677340014973,0.3642978241460469
Borough_Hounslow,0.47713877532566434,0.0010923598520254517,436.79633084368163,0.0,0.47499778935753695,0.47927976129379174
Borough_Islington,0.7735877499061578,0.01508785932681254,51.27220059186394,0.0,0.7440160890217984,0.8031594107905171
Borough_Kensington_and_Chelsea,1.5451649388862951,0.01440174523453236,107.29011753251365,0.0,1.5169380369120904,1.5733918408604999
Borough_Lambeth,0.580495106301115,0.021435619033068065,27.08086505015802,1.6546613248427513e-161,0.5384820650099803,0.6225081475922497
Borough_Lewisham,0.39090326731659875,0.0074746374757365145,52.297287806333514,0.0,0.3762532470666618,0.4055532875665357
Borough_Merton,0.5936206751923951,0.0013390659349807345,443.3095187362344,0.0,0.5909961541869084,0.5962451961978819
Borough_Newham,0.2171786439229313,0.013586761889538496,15.98457717067626,1.636737184170736e-57,0.19054907995291448,0.2438082078929481
Borough_Redbridge,0.3385362789685186,0.0024233246080888502,139.69910503880226,0.0,0.33378665001381486,0.3432859079232224
Borough_Richmond_upon_Thames,0.8968675747175807,0.005428998727789993,165.19944462810227,0.0,0.8862269327389986,0.9075082166961629
Borough_Southwark,0.6307447463449176,0.012948246993425429,48.71275213279319,0.0,0.6053666485748748,0.6561228441149605
Borough_Tower_Hamlets,0.5271311516180324,0.016140821560311523,32.658260278038696,6.117203153532546e-234,0.49549572267893416,0.5587665805571306
Borough_Waltham_Forest,0.3272328048303244,0.004168984865189426,78.49220263730939,0.0,0.31906174464246057,0.33540386501818825
Borough_Wandsworth,0.8479711464818772,0.004712864677320038,179.9269031768751,0.0,0.8387341014503189,0.8572081915134355
Borough_Westminster,1.2099441303868055,0.06369601303208826,18.99560228011869,1.8544778595003638e-80,1.0851022388851186,1.3347860218884924
